,mean_0,std_0,median_0,mean_1,std_1,median_1,mean_diff,pct_diff,cohen_d,p_value
돈육(-11~-15),0.017039740298056154,0.014690082389046717,0.013495708,0.011731727957142859,0.009483415578969536,0.00980463,-0.005308012340913295,-31.150781925466426,0.37585652451926743,0.00010291531970240185
납(-1~-5),0.010030871840172786,0.005328105452241534,0.009048952,0.012101160414285715,0.007378234391438458,0.0107969095,0.002070288574112929,20.639168828990517,-0.3672798211545669,0.026518418896485443
환율변동률(-20),0.0006811243326133908,0.01962012570585533,0.000741168,0.008383423171428572,0.03288458005536582,0.0139427875,0.007702298838815181,1130.8212715382524,-0.3532391668830753,0.06001476211218598
탄소배출권(-6~-10),0.02039998889200864,0.010790337494782613,0.018370146,0.024161709242857148,0.013284816402080237,0.021708198499999998,0.003761720350848506,18.439815682066858,-0.3374926254402415,0.026488524382634444
생우(-11~-15),0.00812704555075594,0.005401387684012827,0.007024715,0.006326062471428573,0.0056552677390952115,0.004755429,-0.0018009830793273675,-22.160366495790694,0.33136469464334045,0.014334452305374083
코스피변동률(-20),0.003218444766738661,0.04156472108207889,0.000855713,-0.012017535185714287,0.06973661688471125,-0.009404745,-0.015235979952452948,-473.3957254730827,0.3297342296732375,0.07892241851170737
생우(-6~-10),0.00817414576025918,0.0053687839496071674,0.007064178,0.006693789299999999,0.0039826613132452554,0.0056563535,-0.00148035646025918,-18.110228318368552,0.2841616950577502,0.006873577074334646
미국_옥수수(-1~-5),0.010556755319654427,0.007190991404669973,0.009414538,0.01261810687142857,0.007935612471048816,0.0104224615,0.002061351551774143,19.526374244331933,-0.2826847955361879,0.04339615698893477
코스닥변동률(-20),-0.0008200286911447089,0.0581483005301004,-0.003826378,-0.018418041942857143,0.08652502191043436,0.0031165224999999998,-0.017598013251712435,-2146.024089370179,0.28126455597903366,0.10367563534785662
런던_설탕(-1~-5),0.010058734010799137,0.00573126546175246,0.008885864,0.0116805803,0.006600816686642091,0.0094218,0.0016218462892008626,16.123761573371315,-0.27716443721828193,0.05473353112422046
